"LOINC_CODE","LOINC_NAME","LOINC_COMPONENT","LOINC_PROPERTY","LOINC_TIMEASPECT","LOINC_SYSTEM","LOINC_SCALE","LOINC_METHOD"
"9344-3",Coproporphyrin 1/Coproporphyrin.total [Mass ratio] in 24 hour Urine,Coproporphyrin 1/Coproporphyrin.total,MCrto,"24H",Urine,Qn,
"5385-0",Thyrotropin receptor Ab [Units/volume] in Serum,Thyrotropin receptor Ab,ACnc,Pt,Ser,Qn,
"52765-5",Thromboelastography without activation panel in Blood,Thromboelastography without activation panel,-,Pt,Bld,-,
"50201-3",Iron [Mass/volume] in Serum or Plasma --4th specimen,Iron^4th specimen,MCnc,Pt,Ser/Plas,Qn,
"51238-4",CD13 cells/100 cells in Body fluid,Cells.CD13/100 cells,NFr,Pt,Body fld,Qn,
"51271-5",CD25 cells/100 cells in Body fluid,Cells.CD25/100 cells,NFr,Pt,Body fld,Qn,
"48166-3",Beta-2-Microglobulin [Mass/volume] in Body fluid,Beta-2-Microglobulin,MCnc,Pt,Body fld,Qn,
"51326-7",CD42b cells/100 cells in Cerebral spinal fluid,Cells.CD42b/100 cells,NFr,Pt,CSF,Qn,
"17139-7",CD32 cells/100 cells in Blood,Cells.CD32/100 cells,NFr,Pt,Bld,Qn,
"32493-9",CD25 cells/100 cells in Bone marrow,Cells.CD25/100 cells,NFr,Pt,Bone mar,Qn,
"703-9",Basophilic stippling [Presence] in Blood by Light microscopy,Basophilic stippling,ACnc,Pt,Bld,Ord,Microscopy.light
"8134-9",CD57 cells/100 cells in Blood,Cells.CD57/100 cells,NFr,Pt,Bld,Qn,
"51350-7",CD57 cells/100 cells in Cerebral spinal fluid,Cells.CD57/100 cells,NFr,Pt,CSF,Qn,
"51229-3",CD11b cells/100 cells in Bone marrow,Cells.CD11b/100 cells,NFr,Pt,Bone mar,Qn,
"11006-4",Borrelia burgdorferi Ab [Presence] in Serum,Borrelia burgdorferi Ab,ACnc,Pt,Ser,Ord,
"14136-6",CD34 cells [#/volume] in Blood,Cells.CD34,NCnc,Pt,Bld,Qn,
"50582-6",Glucose tolerance gestational panel in Urine & Serum or Plasma,Glucose tolerance gestational panel,-,Pt,Urine+Ser/Plas,-,
"43150-2",Hemoglobin A1c measurement device panel,HbA1c measurement device panel,-,Pt,^Patient,-,
"6364-4",Clostridium difficile toxin A+B [Units/volume] in Unspecified specimen by Immunoassay,Clostridium difficile toxin A+B,ACnc,Pt,XXX,Qn,EIA
"66755-0",Maximum clot firmness [Length] in Blood by Thromboelastography --after addition of heparinase,Maximum clot firmness^after addition of heparinase,Len,Pt,Bld,Qn,Thromboelastography
"32741-1",Beta 2 globulin/Protein.total in Body fluid by Electrophoresis,Beta 2 globulin/Protein.total,MFr,Pt,Body fld,Qn,Electrophoresis
"32737-9",Beta 2 globulin/Protein.total in Urine by Electrophoresis,Beta 2 globulin/Protein.total,MFr,Pt,Urine,Qn,Electrophoresis
"52780-4",Maximum clot firmness.extrinsic coagulation system activated.platelets inhibited [Length] in Blood by Thromboelastography,Maximum clot firmness.extrinsic coagulation system activated.platelets inhibited,Len,Pt,Bld,Qn,Thromboelastography
"31033-4",Indinavir [Mass/volume] in Serum or Plasma,Indinavir,MCnc,Pt,Ser/Plas,Qn,
"6877-5",Coproporphyrin 1 [Mass/time] in 24 hour Urine,Coproporphyrin 1,MRat,"24H",Urine,Qn,
"5119-3",Cryptococcus neoformans Ag [Titer] in Serum by Latex agglutination,Cryptococcus neoformans Ag,Titr,Pt,Ser,Qn,LA
"43244-3",Herpes virus 6 DNA [Presence] in Serum by Probe and target amplification method,Herpes virus 6 DNA,ACnc,Pt,Ser,Ord,Probe.amp.tar
"22396-6",Legionella pneumophila Ab [Titer] in Serum,Legionella pneumophila Ab,Titr,Pt,Ser,Qn,
"18485-3",Mi-2 Ab [Presence] in Serum,Mi-2 Ab,ACnc,Pt,Ser,Ord,
"11207-8",Alpha-1-Fetoprotein [Mass/volume] in Body fluid,Alpha-1-Fetoprotein,MCnc,Pt,Body fld,Qn,
"11139-3",Metanephrine [Mass/volume] in Urine,Metanephrine,MCnc,Pt,Urine,Qn,
"48377-6",Mullerian inhibiting substance [Moles/volume] in Serum or Plasma,Mullerian inhibiting substance,SCnc,Pt,Ser/Plas,Qn,
"32362-6",BK virus DNA [Presence] in Serum or Plasma by Probe and target amplification method,BK virus DNA,ACnc,Pt,Ser/Plas,Ord,Probe.amp.tar
"9784-0",Ehrlichia chaffeensis IgM Ab [Titer] in Serum,Ehrlichia chaffeensis Ab.IgM,Titr,Pt,Ser,Qn,
"52762-2",Intrinsic coagulation system thromboelastography panel in Blood,Intrinsic coagulation system thromboelastography panel,-,Pt,Bld,-,
"52764-8",Extrinsic coagulation system with fibrinolysis inhibition thromboelastography panel in Blood,Extrinsic coagulation system with fibrinolysis inhibition thromboelastography panel,-,Pt,Bld,-,
"7656-2",Raspberry IgE Ab [Units/volume] in Serum,Rubus idaeus Ab.IgE,ACnc,Pt,Ser,Qn,
"63477-4",Peanut recombinant (rAra h) 8 IgE Ab [Units/volume] in Serum,Arachis hypogaea recombinant (rAra h) 8 Ab.IgE,ACnc,Pt,Ser,Qn,
"66445-8",Carp (Cyprinus carpio) recombinant (rCyp c) 1 Ab.IgE IgE Ab [Units/volume] in Serum,Cyprinus carpio recombinant (rCyp c) 1 Ab.IgE,ACnc,Pt,Ser,Qn,
"8038-2",Toxocara canis Ab [Units/volume] in Serum,Toxocara canis Ab,ACnc,Pt,Ser,Qn,
"55343-8",Anidulafungin [Susceptibility] by Minimum inhibitory concentration (MIC),Anidulafungin,Susc,Pt,Isolate,OrdQn,MIC
"134-7",Ceftazidime [Susceptibility] by Disk diffusion (KB),Ceftazidime,Susc,Pt,Isolate,OrdQn,Agar diffusion
"193-3",Clindamycin [Susceptibility] by Minimum inhibitory concentration (MIC),Clindamycin,Susc,Pt,Isolate,OrdQn,MIC
"35773-1",Cefotiam [Susceptibility] by Minimum inhibitory concentration (MIC),Cefotiam,Susc,Pt,Isolate,OrdQn,MIC
"54176-3",Caspofungin [Susceptibility] by Minimum inhibitory concentration (MIC),Caspofungin,Susc,Pt,Isolate,OrdQn,MIC
"25824-4",Staphylococcus aureus enterotoxin C IgE Ab [Units/volume] in Serum,Staphylococcus aureus enterotoxin C Ab.IgE,ACnc,Pt,Ser,Qn,
"6024-4",Aspergillus flavus IgE Ab [Units/volume] in Serum,Aspergillus flavus Ab.IgE,ACnc,Pt,Ser,Qn,
"108-1",Cefotaxime [Susceptibility] by Minimum inhibitory concentration (MIC),Cefotaxime,Susc,Pt,Isolate,OrdQn,MIC
"20396-8",Levofloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),Levofloxacin,Susc,Pt,Isolate,OrdQn,MIC
"15257-9",Regional Allergen Mix 2 (Alternaria alternata+Cat dander+American house dust mite+Dog dander+Horse dander) IgE Ab [Presence] in Serum by Multidisk,(Alternaria alternata+Cat dander+Dermatophagoides farinae+Dog dander+Horse dander) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"31037-5",Moxifloxacin [Susceptibility] by Minimum inhibitory concentration (MIC),Moxifloxacin,Susc,Pt,Isolate,OrdQn,MIC
"408-5",Piperacillin [Susceptibility] by Minimum inhibitory concentration (MIC),Piperacillin,Susc,Pt,Isolate,OrdQn,MIC
"29510-5","3-Hydroxyglutarate/Creatinine [Molar ratio] in Urine","3-Hydroxyglutarate/Creatinine",SCrto,Pt,Urine,Qn,
"41200-7",Voriconazole [Susceptibility] by Disk diffusion (KB),Voriconazole,Susc,Pt,Isolate,OrdQn,Agar diffusion
"22518-5",Salmonella paratyphi A H Ab [Titer] in Serum,Salmonella paratyphi A H Ab,Titr,Pt,Ser,Qn,
"32016-8",Glucose [Mass/volume] in Capillary blood,Glucose,MCnc,Pt,BldC,Qn,
"54243-1",Influenza virus RNA [Identifier] in Unspecified specimen by DNA probe,Influenza virus RNA,Prid,Pt,XXX,Nom,Probe
"47855-2",Fibroblast growth factor.C-terminal [Units/volume] in Plasma,Fibroblast growth factor.C-terminal,ACnc,Pt,Plas,Qn,
"7275-1",Date Palm Pollen IgE Ab [Units/volume] in Serum,Phoenix canariensis pollen Ab.IgE,ACnc,Pt,Ser,Qn,
"14658-9",Cold agglutinin [Titer] in Serum or Plasma,Cold agglutinin,Titr,Pt,Ser/Plas,Qn,
"15192-8",Lymphocytes Variant [Presence] in Blood by Automated count,Lymphocytes.variant,ACnc,Pt,Bld,Ord,Automated count
"17351-8",Neutrophil cytoplasmic Ab [Presence] in Serum,Neutrophil cytoplasmic Ab,ACnc,Pt,Ser,Ord,
"50694-9",Rubella virus Ab [Titer] in Serum by Hemagglutination inhibition,Rubella virus Ab,Titr,Pt,Ser,Qn,HAI
"31331-2",Coxsackievirus B5 Ab [Units/volume] in Cerebral spinal fluid,Coxsackievirus B5 Ab,ACnc,Pt,CSF,Qn,
"44505-6",Herpes simplex virus IgG Ab [Presence] in Cerebral spinal fluid,Herpes simplex virus Ab.IgG,ACnc,Pt,CSF,Ord,
"53537-7",Measles virus IgM Ab [Presence] in Body fluid by Immunoassay,Measles virus Ab.IgM,ACnc,Pt,Body fld,Ord,EIA
"53202-8",Oleoylcarnitine (C18:1) [Moles/volume] in Dried blood spot,Oleoylcarnitine (C18:1),SCnc,Pt,Bld.dot,Qn,
"43948-9",CD4+CD45RO+ cells/100 cells in Unspecified specimen,Cells.CD4+CD45RO+/100 cells,NFr,Pt,XXX,Qn,
"21169-8",CD71 cells/100 cells in Unspecified specimen,Cells.CD71/100 cells,NFr,Pt,XXX,Qn,
"31566-3",Polio virus 2 Ab [Units/volume] in Cerebral spinal fluid,Polio virus 2 Ab,ACnc,Pt,CSF,Qn,
"39013-8",Rubella virus IgG Ab [Presence] in Cerebral spinal fluid,Rubella virus Ab.IgG,ACnc,Pt,CSF,Ord,
"39005-4",Hepatitis B virus core Ab [Presence] in Body fluid,Hepatitis B virus core Ab,ACnc,Pt,Body fld,Ord,
"16128-1",Hepatitis C virus Ab [Presence] in Serum,Hepatitis C virus Ab,ACnc,Pt,Ser,Ord,
"58686-7",C peptide [Mass/volume] in Serum or Plasma --2 hours post dose glucose,C peptide^2H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"58494-6",C peptide [Mass/volume] in Serum or Plasma --1.5 hours post dose glucose,C peptide^1.5H post dose glucose,MCnc,Pt,Ser/Plas,Qn,
"53176-4",Octanoylcarnitine (C8)/Acetylcarnitine (C2) [Molar ratio] in Dried blood spot,Octanoylcarnitine (C8)/Acetylcarnitine (C2),SCrto,Pt,Bld.dot,Qn,
"53240-8",Isovalerylcarnitine+Methylbutyrylcarnitine (C5)/Propionylcarnitine (C3) [Molar ratio] in Dried blood spot,Isovalerylcarnitine+Methylbutyrylcarnitine (C5)/Propionylcarnitine (C3),SCrto,Pt,Bld.dot,Qn,
"26462-2",Large unstained cells [#/volume] in Blood,Large unstained cells,NCnc,Pt,Bld,Qn,
"47762-0",Somatotropin [Units/volume] in Serum or Plasma --1 hour post dose insulin IV,Somatotropin^1H post dose insulin IV,ACnc,Pt,Ser/Plas,Qn,
"22644-9",Serine [Moles/volume] in Cerebral spinal fluid,Serine,SCnc,Pt,CSF,Qn,
"26603-1",Asparagine [Moles/volume] in Cerebral spinal fluid,Asparagine,SCnc,Pt,CSF,Qn,
"26592-6",Cystathionine [Moles/volume] in Cerebral spinal fluid,Cystathionine,SCnc,Pt,CSF,Qn,
"33941-6",Herpes virus 6 DNA [Presence] in Blood by Probe and target amplification method,Herpes virus 6 DNA,ACnc,Pt,Bld,Ord,Probe.amp.tar
"26602-3",Tryptophan [Moles/volume] in Cerebral spinal fluid,Tryptophan,SCnc,Pt,CSF,Qn,
"42921-7",JC virus DNA [Presence] in Unspecified specimen by Probe and target amplification method,JC virus DNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"48560-7",Human papilloma virus genotype [Identifier] in Unspecified specimen by Probe and target amplification method,Human papilloma virus genotype,Prid,Pt,XXX,Nom,Probe.amp.tar
"32365-9",TT virus DNA [Presence] in Serum or Plasma by Probe and target amplification method,TT virus DNA,ACnc,Pt,Ser/Plas,Ord,Probe.amp.tar
"42597-5",Corticotropin [Mass/volume] in Plasma --1.5 hours post XXX challenge,Corticotropin^1.5H post XXX challenge,MCnc,Pt,Plas,Qn,
"6765-2","17-Hydroxypregnenolone [Mass/volume] in Serum or Plasma","17-Hydroxypregnenolone",MCnc,Pt,Ser/Plas,Qn,
"4082-4",Trimipramine [Presence] in Serum or Plasma,Trimipramine,ACnc,Pt,Ser/Plas,Ord,
"2258-2",Estrone (E1) [Mass/volume] in Serum or Plasma,Estrone,MCnc,Pt,Ser/Plas,Qn,
"58650-3",Cortisol [Mass/volume] in Saliva --15 minutes pre 1 ug/kg CRH IV,Cortisol^15M pre 1 ug/kg CRH IV,MCnc,Pt,Saliva,Qn,
"31383-3",European tick borne encephalitis virus Ab [Units/volume] in Serum,European tick borne encephalitis virus Ab,ACnc,Pt,Ser,Qn,
"13550-9",Clonazepam [Presence] in Serum or Plasma,Clonazepam,ACnc,Pt,Ser/Plas,Ord,
"3549-3",Diazepam [Presence] in Serum or Plasma,Diazepam,ACnc,Pt,Ser/Plas,Ord,
"35670-9",Tobramycin [Mass/volume] in Serum or Plasma,Tobramycin,MCnc,Pt,Ser/Plas,Qn,
"3422-3",Caffeine [Mass/volume] in Serum or Plasma,Caffeine,MCnc,Pt,Ser/Plas,Qn,
"33816-0",Insulin [Units/volume] in Serum or Plasma --2nd specimen post XXX challenge,Insulin^2nd specimen post XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"58816-0",C peptide [Mass/volume] in Serum or Plasma --2nd specimen,C peptide^2nd specimen,MCnc,Pt,Ser/Plas,Qn,
"42869-8",CD138 cells/100 cells in Blood,Cells.CD138/100 cells,NFr,Pt,Bld,Qn,
"42870-6",CD138 cells/100 cells in Bone marrow,Cells.CD138/100 cells,NFr,Pt,Bone mar,Qn,
"4471-9",Complement Activity Cell Surface Induced [Units/volume] in Serum or Plasma,Complement activity.cell surface induced,ACnc,Pt,Ser/Plas,Qn,
"51358-0",CD59 cells/100 cells in Bone marrow,Cells.CD59/100 cells,NFr,Pt,Bone mar,Qn,
"24349-3",Drugs of abuse 5 panel in Urine,Drugs of abuse 5 panel,-,Pt,Urine,-,
"15363-5",Busulfan [Mass/volume] in Serum or Plasma,Busulfan,MCnc,Pt,Ser/Plas,Qn,
"5229-0",Influenza virus A Ab [Titer] in Serum by Complement fixation,Influenza virus A Ab,Titr,Pt,Ser,Qn,Comp fix
"1494-4",Glucose [Mass/volume] in Serum or Plasma --1.5 hours post 100 g glucose PO,Glucose^1.5H post 100 g glucose PO,MCnc,Pt,Ser/Plas,Qn,
"1530-5",Glucose [Mass/volume] in Serum or Plasma --3 hours post 100 g glucose PO,Glucose^3H post 100 g glucose PO,MCnc,Pt,Ser/Plas,Qn,
"14715-7",Estradiol (E2) [Moles/volume] in Serum or Plasma,Estradiol,SCnc,Pt,Ser/Plas,Qn,
"24518-3",Calcium/Creatinine [Molar ratio] in Urine,Calcium/Creatinine,SCrto,Pt,Urine,Qn,
"58778-2",Peanut recombinant (rAra h) 2 IgE Ab [Units/volume] in Serum,Arachis hypogaea recombinant (rAra h) 2 Ab.IgE,ACnc,Pt,Ser,Qn,
"58752-7",Wheat recombinant (rTri a) 19 IgE Ab [Units/volume] in Serum,Triticum aestivum recombinant (rTri a) 19 Ab.IgE,ACnc,Pt,Ser,Qn,
"64965-7",Peanut recombinant (rAra h) 9 IgE Ab [Units/volume] in Serum,Arachis hypogaea recombinant (rAra h) 9 Ab.IgE,ACnc,Pt,Ser,Qn,
"6963-3",Yersinia enterocolitica Ab [Titer] in Serum,Yersinia enterocolitica Ab,Titr,Pt,Ser,Qn,
"40936-7",Yersinia pseudotuberculosis Ab [Presence] in Serum,Yersinia pseudotuberculosis Ab,ACnc,Pt,Ser,Ord,
"5118-5",Cryptococcus neoformans Ag [Titer] in Cerebral spinal fluid by Latex agglutination,Cryptococcus neoformans Ag,Titr,Pt,CSF,Qn,LA
"17548-9",Rotavirus RNA [Presence] in Unspecified specimen by DNA probe,Rotavirus RNA,ACnc,Pt,XXX,Ord,Probe
"55358-6",Osmolality of Urine--2 hours post fluid fast,Osmolality^post 2H FFst,Osmol,Pt,Urine,Qn,
"35674-1",Creatinine [Mass/volume] in unspecified time Urine,Creatinine,MCnc,XXX,Urine,Qn,
"6727-2",Honey Bee IgG Ab [Units/volume] in Serum,Apis mellifera Ab.IgG,ACnc,Pt,Ser,Qn,
"116-4",Cefoxitin [Susceptibility] by Minimum inhibitory concentration (MIC),Cefoxitin,Susc,Pt,Isolate,OrdQn,MIC
"63427-9",Bacterial shiga-like toxin 1 (STX1) gene [Presence] in Unspecified specimen by Probe and target amplification method,Bacterial shiga-like toxin 1 (STX1) gene,ACnc,Pt,XXX,Ord,Probe.amp.tar
"21889-1",Size Tumor,Size,Len,Pt,Tumor,Qn,
"10432-3",CD30 Ag [Presence] in Tissue by Immune stain,CD30 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"47015-3",CD31 Ag [Presence] in Tissue by Immune stain,CD31 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"10441-4",CD34 Ag [Presence] in Tissue by Immune stain,CD34 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"10436-4",CD15 Ag [Presence] in Tissue by Immune stain,CD15 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"47014-6",CD21 Ag [Presence] in Tissue by Immune stain,CD21 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"29617-8",CD23 Ag [Presence] in Tissue by Immune stain,CD23 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"47016-1",CD4 Ag [Presence] in Tissue by Immune stain,CD4 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"47017-9",CD68 Ag [Presence] in Tissue by Immune stain,CD68 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"40552-2",CD117 Ag [Presence] in Tissue by Immune stain,CD117 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"40558-9",Cytokeratin 20 Ag [Presence] in Tissue by Immune stain,Cytokeratin 20 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"3636-8",Fentanyl [Mass/volume] in Serum or Plasma,Fentanyl,MCnc,Pt,Ser/Plas,Qn,
"10474-5",Collagen type 4 Ag [Presence] in Tissue by Immune stain,Collagen type 4 Ag,ACnc,Pt,Tiss,Ord,Immune stain
"10490-1",IgE Ag [Presence] in Tissue by Immune stain,IgE Ag,ACnc,Pt,Tiss,Ord,Immune stain
"31533-3",Neuronal Ab [Presence] in Serum,Neuronal Ab,ACnc,Pt,Ser,Ord,
"31539-0",Neuronal nuclear type 2 Ab [Presence] in Serum,Neuronal nuclear type 2 Ab,ACnc,Pt,Ser,Ord,
"10802-7",Microscopic observation [Identifier] in Tissue by Prussian blue stain,Microscopic observation,Prid,Pt,Tiss,Nom,Prussian blue stain
"10785-4",Microscopic observation [Identifier] in Tissue by Fite-Faraco stain,Microscopic observation,Prid,Pt,Tiss,Nom,Fite-Faraco stain
"10782-1",Microscopic observation [Identifier] in Tissue by Congo red stain,Microscopic observation,Prid,Pt,Tiss,Nom,Congo red stain
"41493-8",Febrile agglutinin Ab panel [Titer] in Serum,Febrile agglutinin Ab panel,Titr,Pt,Ser,Qn,
"50210-4",Glomerular filtration rate/1.73 sq M.predicted by Cystatin-based formula,Glomerular filtration rate/1.73 sq M.predicted,ArVRat,Pt,Ser/Plas,Qn,Cystatin-based formula
"59233-7",Testosterone [Moles/volume] in Cerebral spinal fluid,Testosterone,SCnc,Pt,CSF,Qn,
"60421-5",Honey bee phospholipase A2 recombinant (rApi m) 1 IgE Ab [Units/volume] in Serum,Apis mellifera phospholipase A2 recombinant (rApi m) 1 Ab.IgE,ACnc,Pt,Ser,Qn,
"67821-9",Human metapneumovirus B RNA [Presence] in Unspecified specimen by Probe and target amplification method,Human metapneumovirus B RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"9362-5",Bordetella pertussis IgA Ab [Units/volume] in Serum,Bordetella pertussis Ab.IgA,ACnc,Pt,Ser,Qn,
"30075-6",Respiratory syncytial virus A RNA [Presence] in Unspecified specimen by Probe and target amplification method,Respiratory syncytial virus A RNA,ACnc,Pt,XXX,Ord,Probe.amp.tar
"24379-0",Platelet aggregation collagen induced [Presence] in Platelet rich plasma,Platelet aggregation.collagen induced,ACnc,Pt,PRP,Ord,
"3653-3",Flurazepam [Mass/volume] in Serum or Plasma,Flurazepam,MCnc,Pt,Ser/Plas,Qn,
"3886-9",Oxazepam [Mass/volume] in Serum or Plasma,Oxazepam,MCnc,Pt,Ser/Plas,Qn,
"61120-2",PM-SCL-100 IgG Ab [Units/volume] in Serum,PM-SCL-100 Ab.IgG,ACnc,Pt,Ser,Qn,
"32685-0",Hepatitis B virus core IgG Ab [Presence] in Serum,Hepatitis B virus core Ab.IgG,ACnc,Pt,Ser,Ord,
"5170-6",Gliadin IgG Ab [Units/volume] in Serum,Gliadin Ab.IgG,ACnc,Pt,Ser,Qn,
"57689-2",Cortisol [Mass/volume] in Saliva --4th specimen,Cortisol^4th specimen,MCnc,Pt,Saliva,Qn,
"11115-3",Neutrophils/100 cells in Bone marrow by Microscopy,Neutrophils/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"2349-9",Glucose [Presence] in Urine,Glucose,ACnc,Pt,Urine,Ord,
noLoinc,No LOINC Code available,,,,,,
"1805-1",Amylase.pancreatic [Enzymatic activity/volume] in Serum or Plasma,Amylase.pancreatic,CCnc,Pt,Ser/Plas,Qn,
"3084-1",Urate [Mass/volume] in Serum or Plasma,Urate,MCnc,Pt,Ser/Plas,Qn,
"1715-2",Acid phosphatase [Enzymatic activity/volume] in Serum or Plasma,Acid phosphatase,CCnc,Pt,Ser/Plas,Qn,
"2778-9",Phosphate [Mass/volume] in Urine,Phosphate,MCnc,Pt,Urine,Qn,
"2955-3",Sodium [Moles/volume] in Urine,Sodium,SCnc,Pt,Urine,Qn,
"2471-1",IgM [Mass/volume] in Cerebral spinal fluid,IgM,MCnc,Pt,CSF,Qn,
"5822-2",Yeast [#/area] in Urine sediment by Microscopy high power field,Yeast,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"5821-4",Leukocytes [#/area] in Urine sediment by Microscopy high power field,Leukocytes,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"46421-4",Mucus [#/area] in Urine sediment by Microscopy high power field,Mucus,Naric,Pt,Urine sed,Qn,Microscopy.light.HPF
"28542-9",Platelet mean volume [Entitic volume] in Blood,Platelet mean volume,EntVol,Pt,Bld,Qn,
"26478-8",Lymphocytes/100 leukocytes in Blood,Lymphocytes/100 leukocytes,NFr,Pt,Bld,Qn,
"32350-1",Basophils+Eosinophils+Monocytes/100 leukocytes in Blood,Basophils+Eosinophils+Monocytes/100 leukocytes,NFr,Pt,Bld,Qn,
"32207-3",Platelet distribution width [Entitic volume] in Blood by Automated count,Platelet distribution width,EntVol,Pt,Bld,Qn,Automated count
"3086-6",Urate [Mass/volume] in Urine,Urate,MCnc,Pt,Urine,Qn,
"3616-0",Ethosuximide [Mass/volume] in Serum or Plasma,Ethosuximide,MCnc,Pt,Ser/Plas,Qn,
"3026-2",Thyroxine (T4) [Mass/volume] in Serum or Plasma,Thyroxine,MCnc,Pt,Ser/Plas,Qn,
"3016-3",Thyrotropin [Units/volume] in Serum or Plasma,Thyrotropin,ACnc,Pt,Ser/Plas,Qn,
"3023-9",Thyroxine (T4) uptake [Mass/volume] in Serum or Plasma,Thyroxine uptake,MCnc,Pt,Ser/Plas,Qn,
"3349-8",Amphetamines [Presence] in Urine,Amphetamines,ACnc,Pt,Urine,Ord,
"14334-7",Lithium [Moles/volume] in Serum or Plasma,Lithium,SCnc,Pt,Ser/Plas,Qn,
"12646-6",Glucose [Mass/volume] in Serum or Plasma --1 hour post XXX challenge,Glucose^1H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,
"9415-1","Carbamazepine 10,11-Epoxide [Mass/volume] in Serum or Plasma","Carbamazepine 10,11-Epoxide",MCnc,Pt,Ser/Plas,Qn,
"5298-5",Rheumatoid factor [Presence] in Serum by Sheep Cell Agglutination,Rheumatoid factor,ACnc,Pt,Ser,Ord,Sheep cell aggl
"4485-9",Complement C3 [Mass/volume] in Serum or Plasma,Complement C3,MCnc,Pt,Ser/Plas,Qn,
"10616-1",Spermatozoa Motile w IgG/100 spermatozoa in Semen by Immunobead,Spermatozoa.motile with IgG/100 spermatozoa,NFr,Pt,Semen,Qn,Immunobead
"10671-6",Helminth identified in Unspecified specimen,Helminth identified,Prid,Pt,XXX,Nom,
"6147-3",Insulin bovine IgE Ab [Units/volume] in Serum,Insulin bovine Ab.IgE,ACnc,Pt,Ser,Qn,
"6126-7",Glycophagus domesticus IgE Ab [Units/volume] in Serum,Glycophagus domesticus Ab.IgE,ACnc,Pt,Ser,Qn,
"15215-7",Epidermal Allergen Mix 71 (Chicken feather+Duck feather+Goose feather+Turkey feather) IgE Ab [Presence] in Serum by Multidisk,(Chicken feather+Duck feather+Goose feather+Turkey feather) Ab.IgE,ACnc,Pt,Ser,Ord,Multidisk
"10926-4",Deer epithelium IgE Ab [Units/volume] in Serum,Deer epithelium Ab.IgE,ACnc,Pt,Ser,Qn,
"6179-6",Mouse epithelium IgE Ab [Units/volume] in Serum,Mouse epithelium Ab.IgE,ACnc,Pt,Ser,Qn,
"6134-1",Guinea pig epithelium IgE Ab [Units/volume] in Serum,Guinea pig epithelium Ab.IgE,ACnc,Pt,Ser,Qn,
"55606-8",Parrot feather IgE Ab [Presence] in Serum,Parrot feather Ab.IgE,ACnc,Pt,Ser,Ord,
"19738-4",Dog serum albumin IgE Ab [Units/volume] in Serum,Dog serum albumin Ab.IgE,ACnc,Pt,Ser,Qn,
"10922-3",Bovine serum albumin (BSA) IgE Ab [Units/volume] in Serum,Bovine serum albumin Ab.IgE,ACnc,Pt,Ser,Qn,
"11118-7",Plasma cells/100 cells in Bone marrow by Microscopy,Plasma cells/100 cells,NFr,Pt,Bone mar,Qn,Microscopy
"33857-4",Sezary cells/100 leukocytes in Blood by Light microscopy,Sezary cells/100 leukocytes,NFr,Pt,Bld,Qn,Microscopy.light
"49134-0",Glucose [Mass/volume] in Blood --2 hours post dose glucose,Glucose^2H post dose glucose,MCnc,Pt,Bld,Qn,
"26848-2",Interleukin 10 [Mass/volume] in Serum or Plasma,Interleukin 10,MCnc,Pt,Ser/Plas,Qn,
"58946-5",Lutropin [Units/volume] in Serum or Plasma --pre XXX challenge,Lutropin^pre XXX challenge,ACnc,Pt,Ser/Plas,Qn,
"57105-9",Lutropin [Units/volume] in Serum or Plasma --30 minutes post dose gonadotropin releasing hormone,Lutropin^30M post dose gonadotropin releasing hormone,ACnc,Pt,Ser/Plas,Qn,
